epoch,train_loss,rmse,mae,r2
1,814.772669614217,13.87764344340194,10.641391291002337,0.0503450328338807
2,176.8833083285099,12.631175229562452,9.31799508281872,0.2132768782979556
3,157.1030228445975,12.370204028097415,8.949208282397695,0.24544983298268674
4,151.1579773505909,12.184424611847348,8.854343950463253,0.2679437639693196
5,148.94918056196002,12.112610918148855,8.985144439496493,0.276547655921647
6,146.1330235837179,12.08119757313812,8.653824422918438,0.280295252354537
7,142.01032633530465,12.000360151602115,8.60276624232388,0.2898943723907106
8,141.87368909023596,12.312250154003182,9.786329413144783,0.2525033416861151
9,141.65432248731548,11.796860555038633,8.586955611215254,0.313773814990736
10,137.54978845222143,12.495975425400458,8.776399007824619,0.23002837824520872
11,136.54978854804517,11.645553226382651,8.39209854317624,0.3312640918991284
12,135.55969365133623,11.544527182946023,8.762207923323343,0.3428164327258333
13,129.81615382290343,11.487911323595718,8.331961611241244,0.349246454123069
14,129.18108769010698,11.500884643273196,8.162774818365653,0.3477758298168614
15,127.07051445536636,11.715498676972917,9.31659439990395,0.3232068526303926
16,127.48207403484143,11.47111049445241,8.147724993491288,0.3511484890611577
17,124.21333212601512,11.513211122054788,9.065259000331022,0.34637699207155315
18,122.79814000106884,11.09856786623971,8.180448456814414,0.39260910390627324
19,122.03402725475256,11.046846573709283,8.150468262759121,0.39825701141357184
20,118.12484800530393,11.029325077857301,8.279354189001202,0.4001643567706572
